,ac_code_icao,e_type,wake,reduced_fuel_a1,reduced_fuel_a2,reduced_fuel_intercept,reduced_fuel_score,reduced_sample_size
0,A140,Turboprop,M,0.00015702700405695325,1.2982777526024196,160.62447178027185,0.9999458252023194,25
1,A148,Jet,M,6.398806910579147e-05,1.757267905324482,971.0358232404124,0.9997945446908749,25
2,A158,Jet,M,3.3362854604312986e-05,2.566018863868268,799.9393976678402,0.9993527034307026,24
3,A20N,Jet,M,5.668855923612881e-05,2.3822203227903334,955.9771828145858,0.9998235411909693,25
4,A21N,Jet,M,6.322240065870233e-05,2.7236585444593007,1121.9381760390397,0.9999394373497357,25
5,A306,Jet,H,0.00020830352819700693,5.292754728665013,2408.3891219198267,0.9999668397890467,25
6,A30B,Jet,H,0.0001982893815144493,6.474756928487186,2222.798735754448,0.9999710022401065,25
7,A310,Jet,H,0.00016329496484424055,4.359746729125529,2228.0275509617168,0.9999132185389964,25
8,A318,Jet,M,6.89511440921109e-05,2.350075246472605,1118.9090916083037,0.9996710414861878,25
9,A319,Jet,M,7.861925591479135e-05,2.3082582355790655,1194.0996838404626,0.999762597383823,25
10,A320,Jet,M,0.00013004233744107196,2.4260951197123437,1310.7950948662055,0.9998581955423149,25
11,A321,Jet,M,-5.7378784219075385e-05,4.083572128715679,1084.1337567410246,0.9997802506382834,25
12,A332,Jet,H,0.00017478595033537658,4.9031762660658,3603.0351976719103,0.9998144631191023,25
13,A333,Jet,H,2.6407166359376788e-05,6.517233690161649,2090.642673369657,0.998943751881415,25
14,A339,Jet,H,0.00017698545424060796,4.634359445213642,4057.6671819265466,0.9994299393336307,25
15,A342,Jet,H,0.00023580943938483756,5.160351823288175,4479.616294853418,0.9995864156148644,25
16,A343,Jet,H,0.0002672084309844891,5.40202955241821,3954.7379543269417,0.9996878172377796,25
17,A345,Jet,H,0.00021019502857555494,6.852207692367797,4919.303525652402,0.9998700675510265,25
18,A346,Jet,H,0.0002565271632093413,6.86051702890215,5501.48232695819,0.9998954077643561,25
19,A359,Jet,H,8.61825848810227e-05,6.152636361762516,1753.6413158785144,0.9982947548498129,25
20,A35K,Jet,H,0.00018463953043745818,5.378231075979626,4413.229547197276,0.9998116940364615,25
21,A388,Jet,J,0.00029763500341672966,11.402874182880451,6408.219743091526,0.9994365322619516,25
22,AJ27,Jet,M,0.00011285452343479108,2.2202908039744718,896.880801146056,0.9997285317664873,25
23,AN24,Turboprop,M,6.1540118558856e-05,1.5981588090902188,212.2134235255014,0.9998276112925253,25
24,AN38,Turboprop,M,3.0358338938052398e-05,1.50932767352588,60.10635243403112,0.9999885407413989,25
25,AT43,Turboprop,M,0.0002039741365430503,0.7995587234644723,198.85276266580058,0.9972960458171347,25
26,AT72,Turboprop,M,0.0002572904328121961,1.1306414713636488,203.17938444650304,0.9991569504563073,24
27,ATP,Turboprop,M,0.0003809166804082942,1.084751679629892,227.04070386623403,0.9997084421944125,25
28,B190,Turboprop,M,3.5682877519871425e-05,0.6990438903158286,81.44129452835466,0.9999917132629498,25
29,B38M,Jet,M,4.240664668087035e-05,2.2729590234452277,976.4669475643968,0.9993995144579585,25
30,B39M,Jet,M,5.4363062104823e-05,2.1640858440661783,1134.7527808384184,0.9998096519602976,25
31,B461,Jet,M,0.00018961565343289521,2.574807111911259,1028.0273918223684,0.999842366833273,25
32,B462,Jet,M,9.335585006686742e-05,2.7314117130301314,1007.602964246164,0.9999240680654571,25
33,B463,Jet,M,0.0002324252599588128,2.7270723090638445,1091.4142853804456,0.9996435197147819,24
34,B712,Jet,M,9.514313978931099e-05,2.5586278585965525,888.8985953393758,0.9999636795337874,25
35,B722,Jet,M,0.00023020310886323614,4.938178279411521,1867.430322671009,0.9998854763107831,25
36,B732,Jet,M,2.2603602200632622e-05,3.2972368428696255,1136.061288362087,0.9994952348667182,25
37,B733,Jet,M,-1.8591243748478092e-05,3.397847036676938,783.8308256672553,0.9992151657346527,25
38,B734,Jet,M,0.00010418443045701054,3.2101738101978854,1167.7732498010064,0.9999831412847484,25
39,B735,Jet,M,7.415187194803607e-05,2.644615749830163,1144.5821378914425,0.9999160051342406,25
40,B736,Jet,M,5.9790833605521954e-05,2.3907264907192607,1141.0731868052453,0.9998542237349269,25
41,B737,Jet,M,8.453820942255774e-05,2.491056389417562,1254.8001814325753,0.9998574837542903,25
42,B738,Jet,M,7.378617475106708e-05,2.920849872328848,1218.8211966548952,0.9997644042840267,25
43,B739,Jet,M,5.865901988277855e-05,3.08055767111119,1193.9582841250576,0.9994966939167389,25
44,B744,Jet,H,0.00032984047302520025,8.335664382081461,5173.3875295867765,0.9999022714183716,25
45,B748,Jet,H,0.0002615950218363139,7.162095963451604,6199.102376527022,0.9998788414176019,25
46,B752,Jet,M,0.00012500418730043705,3.6476346750968722,1815.4045757940403,0.9999570272223736,25
47,B753,Jet,M,0.000134231833089693,4.317066583350788,1813.2095734231498,0.9999505528727877,25
48,B762,Jet,H,0.0001583633647879168,4.430972686802388,2153.699352414358,0.9999196607179762,25
49,B763,Jet,H,0.00014986997348565012,4.1777176647610075,2897.9537791913026,0.9998476269934351,25
50,B764,Jet,H,0.00013953254590592934,5.114127993219688,2381.9024793420685,0.9999703162073146,25
51,B772,Jet,H,0.00019147473513836388,5.782782753633973,3631.7961997048333,0.999882917113769,25
52,B773,Jet,H,5.5388722225657716e-05,8.815299638918951,1523.2308861083802,0.9981383686721939,25
53,B77L,Jet,H,0.000187327605956078,5.340268459176023,4948.453927021372,0.9996237036716895,25
54,B77W,Jet,H,0.00021006624034569654,6.448265007681931,4650.533009643688,0.9998759971765002,25
55,B788,Jet,H,0.00011894807760981507,3.915939456305177,2992.551574337729,0.9997755275483492,25
56,B789,Jet,H,0.00011833399333260886,3.8896865199583086,3252.7546948675517,0.9997633655131797,25
